euros	habs	m2
353.000 1 60 
305.000 3 70 
395.000 4 168 
316.000 3 76 
290.000 2 90 
249.000 2 60 
365.000 3 80 
279.000 2 66 
405.000 4 147 
405.000 2 75 
200.000 2 65 
550.000 3 138 
325.000 2 78 
350.000 3 100 
520.000 5 150 
295.000 3 70 
390.000 3 90 
310.000 3 92 
375.000 3 85 
410.000 4 105 
394.000 2 79 
320.000 1 54 
445.000 3 94 
490.000 3 138 
410.000 4 101 
595.000 4 150 
355.000 1 50 
365.000 3 90 
675.000 3 158 
252.433 2 93 
300.000 2 76 
305.000 3 65 
340.000 3 90 
309.000 2 70 
570.000 3 114 
316.000 3 70 
365.000 3 80 
630.000 5 168 
365.000 3 85 
540.000 5 150 
325.000 2 60 
470.000 4 140 
353.000 1 55 
340.000 3 80 
730.000 4 168 
305.000 3 66 
315.000 2 83 
340.000 3 80 
642.500 4 180 
395.000 2 72 
520.000 5 150 
488.000 5 152 
595.000 4 175 
295.000 3 100 
298.800 3 92 
265.000 3 55 
259.000 3 78 
375.000 2 68 
350.000 3 89 
330.000 3 90 
290.000 3 85 
420.000 4 120 
353.000 1 55 
296.000 3 75 
250.000 1 53 
375.000 3 85 
296.000 3 75 
575.000 4 162 
305.000 3 70 
750.000 4 162 
340.000 3 80 
249.000 2 60 
300.000 2 85 
500.000 3 85 
350.000 3 87 
520.000 5 150 
410.000 4 110 
305.000 3 60 
305.000 3 75 
470.000 3 85 
295.000 3 89 
415.000 3 95 
305.000 3 70 
410.000 4 123 
550.000 5 145 
330.000 3 85 
325.000 3 80 
325.000 3 80 
300.000 2 80 
390.000 3 90 
365.000 3 85 
300.000 2 85 
295.000 3 81 
330.000 3 85 
800.000 4 160 
488.000 5 175 
500.000 3 100 
415.000 3 92 
449.000 3 115 
642.500 3 175 
305.000 3 65 
380.000 2 68 
850.000 4 250 
340.000 3 85 
240.000 2 62 
340.000 1 55 
260.000 1 52 
397.000 3 90 
332.000 3 70 
310.000 3 75 
435.000 2 70 
298.000 3 80 
270.000 3 60 
305.000 3 68 
353.000 1 55 
300.000 2 85 
305.000 0 65 
300.000 2 76 
288.000 3 79 
353.000 1 60 
290.000 2 75 
450.000 4 145 
310.000 3 95 
200.000 2 60 
250.000 3 60 
440.000 3 88 
585.000 3 129 
